source,target,classifier,strategy,run_type,budget,macro_f1,macro_f1_sd,recovery,n_seeds,rec_lo,rec_hi
clothing,music,logreg,random,transfer,1000,0.8814457281285109,0.005238987251752379,0.8329688493449547,5,0.786077998482709,0.8808644032934397
clothing,music,logreg,random,transfer,2000,0.8968900750214092,0.003404551735350194,1.0111477898171919,5,0.9878149997616044,1.0459777256951173
clothing,music,logreg,self_training,target_only,50,0.638404792139696,0.10850080078971706,-1.9709552509211625,5,-3.0535587627153626,-1.0706025675765993
clothing,music,logreg,self_training,target_only,100,0.6853127297799582,0.12021283171385268,-1.4297859359323328,5,-2.4926026016925684,-0.3936779496619148
clothing,music,logreg,self_training,target_only,250,0.813675476474239,0.02203159668810776,0.05111438058477219,5,-0.17262557057812614,0.2317805660072895
clothing,music,logreg,self_training,target_only,500,0.8435606282035628,0.01247512436260643,0.3958945585948558,5,0.2712743148755077,0.48524379603041473
clothing,music,logreg,self_training,target_only,1000,0.8736301667280676,0.00865035595845076,0.7428019773377599,5,0.6561699639475813,0.8086484870281423
clothing,music,logreg,self_training,target_only,2000,0.8936661919970093,0.006765646621318995,0.9739543710551384,5,0.9129182240640776,1.0313317768302057
clothing,music,logreg,self_training,transfer,50,0.826178982769197,0.013889020024390733,0.19536531714253644,5,0.06454081584573583,0.3247166871160583
clothing,music,logreg,self_training,transfer,100,0.8352935674104403,0.014260723442528348,0.3005188108760918,5,0.17739421259076,0.42243359396313596
clothing,music,logreg,self_training,transfer,250,0.8531773445408641,0.008521359554651145,0.5068410647621236,5,0.45082143779877193,0.5950175091469319
clothing,music,logreg,self_training,transfer,500,0.8647679763988263,0.004991097014019541,0.6405603160957691,5,0.5910130080851536,0.68150717548383
clothing,music,logreg,self_training,transfer,1000,0.880549933361743,0.004074694822996476,0.8226342095230115,5,0.7875921386476465,0.8592396242736708
clothing,music,logreg,self_training,transfer,2000,0.8956065411882264,0.004054924995034102,0.9963398668896168,5,0.9638006972539505,1.0329663007539465
clothing,music,logreg,uncertainty,target_only,50,0.695748373772966,0.009686759761674837,-1.3093915934124425,5,-1.3947116375025221,-1.2240830861833971
clothing,music,logreg,uncertainty,target_only,100,0.6888122887660137,0.0356402698512081,-1.3894120880396632,5,-1.753829729230904,-1.129031965033033
clothing,music,logreg,uncertainty,target_only,250,0.7030683410968959,0.0117136297028493,-1.2249423103761379,5,-1.3322286377911063,-1.1375334730761175
clothing,music,logreg,uncertainty,target_only,500,0.7587418708865444,0.012886441788738398,-0.5826457717746598,5,-0.6801516078880674,-0.46342419210441854
clothing,music,logreg,uncertainty,target_only,1000,0.8685646099492853,0.009626799292592674,0.6843614653494934,5,0.5971238817200564,0.7652416515831998
clothing,music,logreg,uncertainty,target_only,2000,0.8951338616462816,0.006455052752765585,0.9908866392102171,5,0.9318379245522725,1.0481683679153793
clothing,music,logreg,uncertainty,transfer,50,0.8284225719001117,0.008495703427104406,0.22124924327898016,5,0.14062820548945884,0.29520630786810875
clothing,music,logreg,uncertainty,transfer,100,0.8436599953964692,0.007676007923013486,0.39704094188140915,5,0.3292262864644877,0.46485428970368964
clothing,music,logreg,uncertainty,transfer,250,0.8627838303985937,0.010841759286670192,0.6176695435357307,5,0.5221152937276543,0.7221702649611242
clothing,music,logreg,uncertainty,transfer,500,0.8814233310522036,0.007093962336525993,0.8327104578860121,5,0.7683437321912988,0.9000899697244391
clothing,music,logreg,uncertainty,transfer,1000,0.8924323076382853,0.006211965189805644,0.959719246110892,5,0.9098752084694869,1.0194371619325322
clothing,music,logreg,uncertainty,transfer,2000,0.8968900750214092,0.003404551735350194,1.0111477898171919,5,0.9878149997616044,1.0459777256951173
